байден; американский государственный и политический деятель, член Демократической партии. Действующий президент США с 20 января 2021 года.
сша; государство в Северной Америке. Площадь — 9,5 млн км². Население — около 329 млн человек. США имеют федеративную форму устройства, административно делятся на 50 штатов и федеральный округ Колумбия; в их подчинении также находится ряд островных территорий (Пуэрто-Рико, Виргинские Острова, Гуам и другие).
россия; государство в Восточной Европе и Северной Азии. Территория России в её конституционных границах составляет 17 125 191 км²; население страны (в пределах её заявленной территории) составляет 146238185 чел. Занимает первое место в мире по территории, шестое — по объёму ВВП по ППС, и девятое — по численности населения.
москва; столица России, город федерального значения, административный центр Центрального федерального округа и центр Московской области, в состав которой не входит. Крупнейший по численности населения город России и её субъект — 12 636 312 человек, самый населённый из городов, полностью расположенных в Европе, входит в десятку городов мира по численности населения, крупнейший русскоязычный город в мире. Центр Московской городской агломерации.
